,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Stiff: The Curious Lives of Human Cadavers,3308,1224,6612,3609,2897,5256,439,3603,3782,5765,3789,1888,6857,1235,6065
"Bloodlines (Bloodlines, #1)",2956,2987,7642,5308,1169,3563,6671,2814,393,6834,2417,581,252,9062,9591
"Ender's Shadow (Ender's Shadow, #1)",2655,7945,565,8643,389,84,1808,1341,7589,7113,4246,9739,1374,9848,862
Twenties Girl,8540,5078,1594,1532,1149,7201,9131,5649,2793,979,4005,2991,7733,1899,2633
Schindler's List,4043,6547,7297,2482,5701,1815,7949,87,5052,15,8028,513,3772,300,3268
The Bluest Eye,468,3523,736,317,8840,3127,664,2053,3872,2339,2578,483,3294,8276,9386
"The White Queen (The Plantagenet and Tudor Novels, #2)",4243,5086,6544,4146,3709,5375,9804,6582,2322,9173,6810,3322,6000,825,8835
The Autobiography of Malcolm X,6884,1691,2010,4597,9648,2643,8831,317,3419,8238,5399,1595,1068,1978,2831
Preludes & Nocturnes (The Sandman #1),1895,2353,2937,3082,3395,3396,1572,3086,3660,5923,3055,7906,8109,7883,365
Seabiscuit: An American Legend,994,5658,3742,4535,2647,1772,3208,9629,7297,3242,4242,6038,1656,800,4749
Shutter Island,726,200,8377,473,209,521,5080,2668,8858,4963,9902,1150,9217,6295,7477
The Complete Sherlock Holmes,1320,618,1240,3292,1631,413,4719,5870,792,2397,8768,1327,1910,1907,1953
Julius Caesar,125,353,714,839,29,3948,5540,855,1885,248,154,824,387,555,1454
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",7629,6038,7949,5138,9280,2790,8618,7656,2837,1378,4153,2724,2186,4140,7902
The Republic,4330,6896,3868,3949,4880,3404,4149,479,9281,529,71,8390,7606,4684,390
The Taming of the Shrew,530,248,839,427,1454,3948,1666,5540,29,125,7648,7353,770,8896,3699
"Cress (The Lunar Chronicles, #3)",2626,7535,9130,842,2734,2629,752,6537,6756,5842,1308,2194,7373,1668,1965
Just Kids,2320,1978,4932,9291,574,3966,6400,9439,101,8843,7239,4331,878,4836,5794
The Art Book,1756,524,8259,5208,4186,7862,9502,1777,6367,580,8738,4054,5275,9004,9842
Jemima J,156,78,465,1107,310,381,108,455,4732,1430,228,64,674,75,7695
The Hunchback of Notre-Dame,413,109,103,361,116,1178,58,83,1327,293,2361,42,204,590,706
A Fine Balance,8015,5932,3021,143,6867,5620,5054,3837,4,6055,291,3093,3217,1539,1909
Calvin and Hobbes,6590,8978,9566,1010,6361,4483,5207,3628,1788,6920,5580,7254,4046,5510,8109
"Specials (Uglies, #3)",711,5890,2711,2293,486,3084,280,6861,1095,91,185,259,383,8643,3901
The Awakening,468,1566,1509,1785,95,353,178,125,387,2314,2499,55,899,317,5
"Hunted (House of Night, #5)",2593,1724,3783,3165,5473,4425,6511,2038,5857,1830,4867,1971,1387,2951,1861
For One More Day,114,329,6348,7326,8230,1471,8152,8806,8151,9870,9841,4157,8691,9350,3196
"Clear and Present Danger (Jack Ryan Universe, #6)",588,8727,1963,3367,4533,9640,9879,1534,222,2203,4917,3058,966,2789,8631
Falling Up,545,184,2750,999,2597,157,102,158,1383,998,296,444,2877,364,661
Sh*t My Dad Says,3822,8698,7453,1162,6949,8661,5518,874,7953,8515,8933,5938,7131,5453,9842
Trainspotting,196,350,6234,65,129,9905,4429,2328,7668,846,360,2517,896,1582,173
Foundation and Empire (Foundation #2),4585,5055,1800,5381,6123,2514,1179,633,371,8893,897,7717,5982,5429,6924
The Four Agreements: A Practical Guide to Personal Freedom,2912,3196,9322,2694,1330,4364,1855,2660,719,6825,8865,1168,9260,4157,9762
House Rules,2104,7542,3912,2856,9885,6458,3796,830,1297,5233,8356,3847,6789,4176,8198
The Complete Grimm's Fairy Tales,1108,1910,518,8210,1120,229,1327,6898,1907,514,769,346,877,257,3306
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,738,59,245,999,77,444,1707,561,158,184,868,545,241,386,1253
"Doctor Sleep (The Shining, #2)",1770,3440,9594,1491,9422,4428,262,4144,8265,3337,1000,2396,9669,5459,9310
About a Boy,9519,9483,6840,8516,739,8873,5932,1310,6729,3540,4363,9302,4714,9569,6925
"On Dublin Street (On Dublin Street, #1)",334,1143,4373,218,1165,3554,1110,5272,7051,3863,7682,3017,942,2576,589
Crazy Love: Overwhelmed by a Relentless God,3931,3448,2473,4721,9219,6414,1998,6782,6886,7852,7977,5571,4151,8437,9518
"One Fish, Two Fish, Red Fish, Blue Fish",157,296,2176,579,85,549,876,3762,976,905,661,545,728,1488,278
Watchers,5612,5945,4528,3921,8987,7047,3058,1292,4678,7215,8832,9248,4616,2513,9959
The Story of My Life,5527,3548,9386,5658,8558,15,1656,2738,767,9372,1234,5823,472,1595,1691
This is Where I Leave You,2933,226,3194,46,6466,8690,4674,1740,698,8656,2272,678,2088,4074,9930
Abraham Lincoln: Vampire Hunter,6254,4857,6111,5769,3527,8672,5190,5811,8500,7285,9491,5050,8909,8922,4492
"Fruits Basket, Vol. 1",9851,9948,6622,2894,7680,8172,3651,7712,810,9906,9730,2099,2851,8004,4415
The Tempest,839,248,125,555,8896,5540,824,3948,257,530,3023,4149,770,7309,8916
"Burned (House of Night, #7)",2593,3165,5473,6511,1724,2712,1780,3783,9920,7460,8851,4867,9500,2715,1830
"Wizard and Glass (The Dark Tower, #4)",725,612,953,936,1053,232,1698,2713,2412,1248,168,915,7127,7446,4543
The Circle,141,215,562,3010,8757,1003,4674,9763,1065,5442,1341,1786,9217,862,5713
The Invention of Hugo Cabret,9209,9088,9077,5516,4791,9994,5371,4966,8521,9381,4019,9903,2771,8234,8455
Brave New World / Brave New World Revisited,55,13,48,846,2187,637,65,14,360,95,4047,1800,298,297,914
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club, #1)",3301,7712,7680,9245,7966,9851,8890,6452,9673,2656,7516,6378,9695,803,4689
The Good Girl,445,4900,61,2530,3466,2216,2396,1345,1551,939,2551,4176,2617,2273,1508
"Fallen Too Far (Rosemary Beach, #1; Too Far, #1)",1219,938,5131,4102,3297,3004,1769,3732,2443,1036,1702,3855,1165,1813,5197
Landline,928,2558,1076,884,667,2161,4480,1952,1668,1951,541,827,1244,7362,2194
"Tempted (House of Night, #6)",2593,3165,2038,5473,1971,6511,3783,981,1724,1780,2134,7460,5148,4659,1861
No Country for Old Men,757,4464,9263,8600,6066,5033,7563,7579,7668,3252,3417,431,8656,7462,3703
"Wolf Hall (Thomas Cromwell, #1)",2079,9506,7971,3961,6033,2257,1212,2848,2037,4284,5437,6758,5378,2503,2763
"Howl's Moving Castle (Howl's Moving Castle, #1)",89,2125,7886,9331,7888,377,4396,3860,2230,8893,4445,2954,9424,1554,8460
Dreamcatcher,915,609,1139,2352,675,1423,2155,5568,5188,556,944,1900,5763,553,705
Walden,95,116,1605,1178,529,5437,4592,361,58,1691,772,1354,3650,478,8390
The Remains of the Day,3400,8469,9483,8508,3878,1005,8600,1393,1957,6184,212,2875,3412,3210,829
The Best of Me,3574,7389,6028,2795,7023,4547,9159,3760,4631,6051,9511,667,5525,4009,1599
The Sense of an Ending,1030,5177,3262,6454,2975,2664,7329,5908,7379,3791,9025,6460,9018,323,3913
"A is for Alibi (Kinsey Millhone, #1)",8861,7707,7289,8985,6853,5639,5829,9469,5486,5167,8012,5624,4056,3108,9871
"Oedipus Rex  (The Theban Plays, #1)",4149,2052,9281,125,353,154,770,4330,4537,387,2142,714,79,2544,9304
Shanghai Girls (Shanghai Girls #1),1943,1714,7178,3311,3038,5648,848,7458,1814,925,148,4057,6951,4910,5065
The Wind in the Willows,518,444,3306,93,2648,59,1327,229,1253,346,2125,1222,1695,158,257
"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",4143,2161,2104,1004,1720,1951,3655,995,6989,363,713,4135,4165,2726,4381
"Persepolis: The Story of a Childhood (Persepolis, #1)",2451,490,1265,1380,8367,9017,8737,1370,3248,2386,1422,4064,2540,365,3932
A Room with a View,997,899,1094,451,2600,2875,3255,1681,1073,4250,1957,93,7836,427,701
The DUFF: Designated Ugly Fat Friend,1453,2726,1004,2104,1297,4165,1080,363,8268,7658,1767,9340,6989,3372,5279
Lock and Key,3888,6388,7284,1335,6391,4655,3487,8330,6177,9763,7190,6434,3665,1297,4402
"Naked in Death (In Death, #1)",6923,7633,4757,6762,7150,6129,7041,7132,5062,1872,7732,7982,6496,4134,6594
The Chamber,521,3240,5080,966,9144,2242,5082,2774,1448,1922,4276,3779,3367,487,693
"Midnight Sun (Twilight, #1.5)",992,220,3075,636,1109,1609,954,2749,9106,5245,3854,9486,2331,3032,7854
"Naruto, Vol. 01: The Tests of the Ninja (Naruto, #1)",720,8202,5523,6027,6217,1828,9798,893,1321,3266,3977,6622,8158,8567,585
"The Unlikely Pilgrimage of Harold Fry (Harold Fry, #1)",906,459,359,313,6288,4467,697,6310,378,8065,678,4854,291,3952,5236
"Every Day (Every Day, #1)",9882,4467,6515,6226,164,6925,1767,4318,1575,3441,1919,7773,7373,3345,8044
"Xenocide (Ender's Saga, #3)",6509,5470,2536,8432,3013,487,7945,5304,4049,3864,910,7113,565,5385,2655
The Merchant of Venice,248,125,714,353,3948,530,1885,855,5540,773,154,770,29,7353,427
"Shōgun (Asian Saga, #1)",4972,734,3772,33,2411,5648,274,1256,8357,757,9096,1158,7974,7418,7305
"Lover Awakened (Black Dagger Brotherhood, #3)",9342,6269,6689,3454,7064,3265,3215,2083,8419,2545,9289,3382,9491,554,9656
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",2254,1353,5118,774,2626,252,1472,536,9130,5793,8500,5842,2194,4929,8587
"Fifty Shades Trilogy (Fifty Shades, #1-3)",3863,1893,1295,904,2748,334,2330,2276,2779,4073,1981,812,2183,2665,3081
Chicka Chicka Boom Boom,728,3363,2096,549,296,679,6395,971,661,339,3740,3303,454,1648,1229
Smile,2896,9209,5205,1422,3502,8948,4668,7740,2540,7422,5333,9229,2565,7174,7153
Animal Farm / 1984,14,48,55,65,13,809,95,28,297,271,225,1041,5425,298,32
"The Deep End of the Ocean (Cappadora Family, #1)",1386,1567,2603,3787,1675,1762,3284,5737,3468,1311,1317,5157,5925,381,7520
The Bonesetter's Daughter,273,5648,3038,5108,7458,5297,5932,8516,2939,6885,7806,2942,396,8094,3007
"Angus, Thongs and Full-Frontal Snogging (Confessions of Georgia Nicolson, #1)",8298,5391,5320,3084,8543,9843,5436,9672,7471,3723,2054,8875,3160,2988,3458
"Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore, #1)",4674,4713,1346,689,2384,7403,9883,2213,3756,1230,9930,5574,8839,678,4912
"Flowers in the Attic (Dollanganger, #1)",3367,1301,6209,1407,1733,1037,2435,8956,7451,1543,1448,3102,4898,2924,5082
When Breath Becomes Air,4824,3885,874,3822,7273,4225,4706,8139,1577,9064,6583,2702,106,5882,6094
Maniac Magee,707,77,1742,8111,2032,241,1369,4236,6972,5020,3790,7714,2985,4476,793
Invisible Monsters,8693,7549,6910,2737,921,8033,6858,5406,8351,7379,6510,244,6698,7561,5680
Twelfth Night,530,248,839,5540,125,7353,1666,1454,770,427,3699,3948,29,2103,451
"Gathering Blue (The Giver, #2)",5541,6901,3084,4047,7304,6164,5890,5440,7524,8103,8652,6199,8510,9287,8526
The Westing Game,8111,738,1639,1061,793,561,117,1590,1196,4236,77,50,707,540,7806
"Red Rising (Red Rising, #1)",4246,1628,4255,9777,1837,862,2118,742,2140,5118,2814,3850,9470,9571,2116
"The Way of Shadows (Night Angel, #1)",1356,1731,2606,1665,3725,3341,565,7993,307,1049,5217,5848,389,1200,3798
"The Bean Trees (Greer Family, #1)",57,118,409,6980,5448,5260,198,468,4555,1038,2367,7806,515,1569,77
"Walking Disaster (Beautiful, #2)",1753,5768,1165,589,2141,5457,1542,6044,1110,539,5300,4373,6127,334,7303
"Words of Radiance (The Stormlight Archive, #2)",2160,307,3798,3534,6309,3725,1341,2606,6228,7197,1374,1905,1808,3474,7816
Guess How Much I Love You,1984,339,296,661,971,6395,454,1229,905,549,1211,579,7690,998,9162
"The Fiery Cross (Outlander, #5)",5324,2047,2706,2633,2065,9663,2278,496,841,3215,8183,5004,5323,4471,6604
Night Shift,1123,1900,1208,556,1987,675,739,915,670,6323,1589,243,237,349,5188
Jaws,1292,4885,731,209,1974,4463,237,222,726,487,123,86,9103,2774,5480
The History of Love,2679,74,1644,88,9233,570,2128,516,2975,249,5908,60,2053,5589,948
Pippi Longstocking,444,59,335,184,158,1497,1253,545,373,2648,93,1373,793,999,2750
The Elegance of the Hedgehog,5076,930,8277,2128,7662,8916,2124,4780,7210,3692,8717,1688,8973,6242,5389
Team of Rivals: The Political Genius of Abraham Lincoln,3488,3104,2651,1333,687,4971,9337,4811,4140,9004,3142,5081,3071,8964,3572
"Dead in the Family (Sookie Stackhouse, #10)",8208,4340,3875,9415,5744,1680,1966,6075,3975,4121,7935,1273,4689,5697,1930
The Plague,2024,162,6354,1364,614,6265,4584,4106,6664,7198,3020,4602,1015,3508,3379
"The Reptile Room (A Series of Unfortunate Events, #2)",8626,6189,3306,2857,9661,3420,2733,5984,8746,1029,2767,3878,3319,2415,6532
Brain on Fire: My Month of Madness,9286,852,3822,6094,4824,2335,7953,8061,4451,8698,3885,9842,4852,5711,5226
"Wicked Lovely (Wicked Lovely, #1)",8231,3617,5815,5755,4559,1070,2267,2358,2488,4730,9056,5224,1945,4204,7351
Curious George,1765,2446,2260,549,1478,1229,1211,3151,85,971,1648,679,2892,1348,157
The Neverending Story,8893,3120,9424,5632,4445,518,95,1196,4275,3578,1327,257,2230,2125,7893
A Beautiful Mind,2255,5269,604,6884,2247,9291,1234,6400,2482,9690,5524,6285,1595,8515,9887
The Jungle,1411,1432,1996,1509,872,2199,6307,2177,8818,3252,5237,177,395,9612,2361
"The Summoning (Darkest Powers, #1)",9007,2812,3424,5811,1066,5810,1860,1637,4408,9338,5025,7595,4203,7926,8953
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,7910,5772,6882,2231,5537,4370,6220,3645,7151,3782,3308,6011,2946,472,2226
Eye of the Needle,989,4062,2670,3857,966,3772,6238,2223,3671,588,1963,2411,8863,2203,8607
The Blind Assassin,1845,3869,3889,3141,3237,9215,7486,8337,6125,5084,5881,8404,7990,7874,5808
"Hollow City (Miss Peregrine’s Peculiar Children, #2)",7773,7642,9591,3441,6537,2814,6040,2941,9926,2558,5793,5842,2194,7957,3677
House of Sand and Fog,1317,1567,1435,2820,1762,4473,9677,5737,1675,3787,2368,2738,5157,3284,5925
The Girl with All the Gifts,742,1341,7584,1770,1837,2570,4329,4540,9782,9959,929,6747,4995,4001,9947
As I Lay Dying,614,5437,4622,1999,6326,7309,4939,6553,715,5716,3535,3508,130,2466,1329
Harold and the Purple Crayon,102,549,7611,2095,905,296,4877,157,85,2260,339,1348,1603,1287,444
"Lover Eternal (Black Dagger Brotherhood, #2)",3265,6269,3454,9342,5740,6689,7064,2803,3554,3226,2545,6075,9201,7166,9289
Second Foundation (Foundation #3),4585,5055,1800,5381,9863,5982,4468,6924,7717,8893,9425,603,1179,633,897
"Fool Moon (The Dresden Files, #2)",7470,5685,6828,6852,2758,8708,7056,4683,6378,4498,3899,5145,6683,5613,2547
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",6548,1621,7964,4417,9899,6398,537,385,4824,8046,9939,4147,9182,7845,1371
"Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)",8567,1828,8158,585,3629,2434,7217,6444,5523,9092,8321,6622,7807,6574,6576
"Guards! Guards! (Discworld, #8)",5099,6144,3317,6083,3325,192,6982,307,8294,4686,6816,8832,3837,9877,9894
The Year of Magical Thinking,1978,317,5863,7227,1068,4691,765,6057,7615,2288,2247,7198,604,4836,3561
We Need to Talk About Kevin,788,6806,209,3131,6413,4967,431,9905,9150,271,1238,3566,274,5948,72
"Rendezvous with Rama (Rama, #1)",2755,5982,3541,1881,5192,5676,7149,7589,7336,4726,8128,633,9922,8651,3111
"The Queen of the Damned (The Vampire Chronicles, #3)",5293,1382,2604,9044,4194,3497,8132,3663,5067,3536,9963,6551,4233,6830,7244
The Age of Innocence,1094,1509,265,829,7620,7836,3255,1161,468,4,1184,93,1887,116,5
The Selfish Gene,8000,5027,5765,5784,6065,8047,8375,3696,3645,6857,4018,6781,7517,4119,6384
Year of Wonders,6681,1714,5052,225,1158,3489,4062,4368,2738,8464,6030,808,2343,7247,3920
"The Black Echo (Harry Bosch, #1; Harry Bosch Universe, #1)",3807,9832,5167,7707,7941,5080,1176,726,8861,2989,6295,6172,6561,6520,5284
Anthem,287,4298,1960,255,5810,8197,6928,1738,2967,486,8688,2619,2676,8039,1678
"Gabriel's Inferno (Gabriel's Inferno, #1)",2276,843,2665,1542,3017,4102,1983,6127,7073,1036,812,3081,4466,7202,1813
Cloudy With a Chance of Meatballs,661,296,549,102,2260,998,3232,627,1775,1287,6003,4180,888,85,157
Major Pettigrew's Last Stand,836,195,291,697,378,1195,5931,359,2367,4296,1131,4250,673,143,7382
"Vision in White (Bride Quartet, #1)",3168,3865,1612,4737,9186,7637,9565,9160,5862,9159,7890,5942,9801,8689,9464
The Tenth Circle,509,761,411,831,6233,9916,3501,667,8646,1637,4005,9131,1594,3665,634
"The Throne of Fire (Kane Chronicles, #2)",4449,8270,1399,3157,1504,3636,1726,1951,2112,4599,2764,4125,6452,252,3677
"Old Man's War (Old Man's War, #1)",8135,3644,7038,6340,9526,9581,8302,6013,7113,9575,7614,1003,5666,2325,9848
Gerald's Game,578,1075,705,915,9559,5763,4524,818,1987,2352,1795,865,1565,4642,1288
"Two for the Dough (Stephanie Plum, #2)",1232,2094,4794,7380,4892,5174,7126,6358,6853,8012,5781,5359,5807,2354,5117
The Joy of Cooking,3046,5841,8571,7860,6988,8286,2020,1013,9537,8533,2459,6663,6875,4940,8246
"The Forever War (The Forever War, #1)",3541,2755,9499,3099,2693,8081,7038,4768,4326,4726,5714,809,9758,1800,4217
Insomnia,1139,1423,675,1900,2352,556,609,818,2513,5763,1123,705,553,865,703
Reading Lolita in Tehran,6168,6921,1068,1970,8355,881,2175,9072,5784,2386,2931,2144,3225,1664,5794
"The Blade Itself (The First Law, #1)",5672,5735,192,7127,2825,307,1905,9525,5951,2006,4806,877,1018,3601,6838
"The Arctic Incident (Artemis Fowl, #2)",9424,3319,9331,7893,1155,5632,377,1259,5414,3910,4445,1298,3120,4396,192
The Shipping News,3889,9689,930,8039,6954,6454,2124,3504,948,115,7907,1319,657,941,815
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,8601,1708,5955,9809,8544,9969,7361,6868,470,3586,6949,4850,7402,3867,6245
All the Bright Places,5279,1453,8119,1562,1568,2838,830,3372,2876,3655,9340,149,4109,6466,475
"Déjà Dead (Temperance Brennan, #1)",511,2074,2890,726,1091,2351,2150,3940,8422,5129,2014,3108,2031,3035,7180
"The Alchemyst (The Secrets of the Immortal Nicholas Flamel, #1)",6847,648,447,53,345,9730,3339,909,6537,5697,2476,3636,3999,1764,4069
The Marriage Plot,1030,6114,3180,8019,822,4307,1009,7905,9506,9921,1538,7311,9072,4685,1315
Daughter of Fortune,8295,273,669,5421,7418,33,4110,148,1256,1131,4277,6968,825,8976,3311
Luckiest Girl Alive,61,3401,5519,939,811,1482,2530,226,1028,30,262,9942,8314,2307,6706
"Crank (Crank, #1)",8842,8875,5554,8298,425,2980,6333,4167,5406,7565,2695,3937,7983,3176,9840
"The Raven Boys (The Raven Cycle, #1)",1502,1668,2587,1671,1743,5981,1637,8265,884,7148,9898,2814,2116,2805,7773
I Am Legend and Other Stories,1659,3397,9225,297,9313,5072,3817,3243,1484,512,1204,4931,1717,365,731
Olive Kitteridge,2124,6454,948,941,638,3504,662,6954,3889,2053,919,2869,115,2524,8360
"Not That Kind of Girl: A Young Woman Tells You What She's ""Learned""",1044,2335,3588,1162,6990,290,7564,5663,1198,6491,106,6748,2098,1187,4852
Good to Great: Why Some Companies Make the Leap... and Others Don't,2220,5796,9375,6922,5675,2327,1621,9700,5483,3361,3129,5471,5610,6398,5873
"Fire (Graceling Realm, #2)",1997,9976,4193,5156,8507,1807,5875,8265,3563,2764,7642,1502,3677,1000,4599
Waiting for Godot,1584,4584,125,2297,8908,162,456,715,3700,427,213,1580,4974,7074,1186
White Fang,116,58,478,413,293,699,388,1178,1695,1327,1605,103,2523,2361,361
"Wolves of the Calla (The Dark Tower, #5)",953,1053,806,612,725,232,2713,1698,2412,8651,7127,915,1248,1498,7446
His Dark Materials (His Dark Materials #1-3),1196,3739,9198,1530,2711,1591,817,877,9424,753,282,405,1391,8425,416
"The Edge of Never (The Edge of Never, #1)",539,1813,1773,2153,1295,5197,812,1219,3040,5513,8364,1165,1036,2141,3633
Reconstructing Amelia,2551,1433,262,1508,61,811,235,2422,4168,9942,2617,8314,2856,5557,940
One Plus One,262,235,1804,991,8739,438,3615,164,678,939,5105,2872,1599,324,8273
The Hours,3504,6954,2124,930,948,467,6454,662,7907,4865,8360,2079,1739,3889,820
"Wallbanger (Cocktail, #1)",1776,7085,7682,9109,3800,3748,1658,5651,9652,3384,6476,9351,9464,3732,6904
Holidays on Ice,6829,8045,7592,7522,574,1460,7186,3555,1672,1976,8867,1839,5961,8857,4043
Desperation,2352,915,1075,5763,818,3937,578,2513,705,4524,5188,9559,1248,3735,1987
"Passion (Fallen, #3)",434,583,5106,202,3975,3031,2715,1971,9106,2529,1122,1861,2283,2038,1830
"The Kill Order (Maze Runner, #0.5)",2532,5308,3087,5662,206,6136,506,884,947,2799,327,6722,423,2358,7672
"Angelfall (Penryn & the End of Days, #1)",5662,1502,713,6759,4921,5511,7101,3087,4306,752,9135,9774,452,6423,6118
Empire Falls,6454,6954,3504,7907,9990,2124,662,516,930,8360,6932,941,2053,3889,5421
"The Fires of Heaven (Wheel of Time, #5)",960,988,1374,9922,4712,8651,307,7127,1874,6733,3200,4513,8157,696,8321
I'll Give You the Sun,6226,993,7148,5532,837,8265,3441,4318,9345,6643,2116,9340,7431,1668,1192
Survivor,768,743,6602,7269,9367,9376,6070,6859,4963,8468,7379,8912,8596,3647,1467
"Shopaholic & Baby (Shopaholic, #5)",455,5305,6300,4557,4732,647,552,571,156,6676,8496,1735,9663,7399,2069
"The Dark Tower (The Dark Tower, #7)",936,1053,806,725,2713,1698,2412,1248,915,7127,2828,8651,6578,7446,5982
Twilight Director's Notebook : The Story of How We Made the Movie Based on the Novel by Stephenie Meyer,1109,636,1609,220,5245,1619,992,4088,3075,52,834,2021,9486,49,7837
